Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Spatiotemporal prediction of vancomycin-resistant Enterococcus colonisation.,van Niekerk JM; Lokate M; Braakman-Jansen LMA; van Gemert-Pijnen JEWC; Stein A,"BACKGROUND: Vancomycin-resistant enterococci (VRE) is the cause of severe patient health and monetary burdens. Antibiotic use is a confounding effect to predict VRE in patients, but the antibiotic use of patients who may have frequented the same ward as the patient in question is often neglected. This study investigates how patient movements between hospital wards and their antibiotic use can explain the colonisation of patients with VRE. METHODS: Intrahospital patient movements, antibiotic use and PCR screening data were used from a hospital in the Netherlands. The PageRank algorithm was used to calculate two daily centrality measures based on the spatiotemporal graph to summarise the flow of patients and antibiotics at the ward level. A decision tree model was used to determine a simple set of rules to estimate the daily probability of patient VRE colonisation for each hospital ward. The model performance was improved using a random forest model and compared using 30% test sample. RESULTS: Centrality covariates summarising the flow of patients and their antibiotic use between hospital wards can be used to predict the daily colonisation of VRE at the hospital ward level. The decision tree model produced a simple set of rules that can be used to determine the daily probability of patient VRE colonisation for each hospital ward. An acceptable area under the ROC curve (AUC) of 0.755 was achieved using the decision tree model and an excellent AUC of 0.883 by the random forest model on the test set. These results confirms that the random forest model performs better than a single decision tree for all levels of model sensitivity and specificity on data not used to estimate the models. CONCLUSION: This study showed how the movements of patients inside hospitals and their use of antibiotics could predict the colonisation of patients with VRE at the ward level. Two daily centrality measures were proposed to summarise the flow of patients and antibiotics at the ward level. An early warning system for VRE can be developed to test and further develop infection prevention plans and outbreak strategies using these results.",2022,Jan,BMC Infect Dis,22,1,67,,10.1186/s12879-022-07043-9,35057734,#9,vanNiekerk 2022,"",""
Influence of Hospital Characteristics on Hospital Transfer Destinations for Patients With Stroke.,Zachrison KS; Amati V; Schwamm LH; Yan Z; Nielsen V; Christie A; Reeves MJ; Sauser JP; Lomi A; Onnela JP,"BACKGROUND: Patients with stroke are frequently transferred between hospitals. This may have implications on the quality of care received by patients; however, it is not well understood how the characteristics of sending and receiving hospitals affect the likelihood of a transfer event. Our objective was to identify hospital characteristics associated with sending and receiving patients with stroke. METHODS: Using a comprehensive statewide administrative dataset, including all 78 Massachusetts hospitals, we identified all transfers of patients with ischemic stroke between October 2007 and September 2015 for this observational study. Hospital variables included reputation (US News and World Report ranking), capability (stroke center status, annual stroke volume, and trauma center designation), and institutional affiliation. We included network variables to control for the structure of hospital-to-hospital transfers. We used relational event modeling to account for complex temporal and relational dependencies associated with transfers. This method decomposes a series of patient transfers into a sequence of decisions characterized by transfer initiations and destinations, modeling them using a discrete-choice framework. RESULTS: Among 73 114 ischemic stroke admissions there were 7189 (9.8%) transfers during the study period. After accounting for travel time between hospitals and structural network characteristics, factors associated with increased likelihood of being a receiving hospital (in descending order of relative effect size) included shared hospital affiliation (5.8× higher), teaching hospital status (4.2× higher), stroke center status (4.3× and 3.8× higher when of the same or higher status), and hospitals of the same or higher reputational ranking (1.5× higher). CONCLUSIONS: After accounting for distance and structural network characteristics, in descending order of importance, shared hospital affiliation, hospital capabilities, and hospital reputation were important factor in determining transfer destination of patients with stroke. This study provides a starting point for future research exploring how relational coordination between hospitals may ensure optimized allocation of patients with stroke for maximal patient benefit.",2022,May,Circ Cardiovasc Qual Outcomes,15,5,e008269,ClinicalTrials.gov/NCT03785678ClinicalTrials.gov/NCT03763929ClinicalTrials.gov/NCT02700945,10.1161/CIRCOUTCOMES.121.008269,35369714,#10,Zachrison 2022,"",""
A network analysis of patient referrals in two district health systems in Tanzania.,Francetic I; Tediosi F; Kuwawenaruwa A,"Patient referral systems are fragile and overlooked components of the health system in Tanzania. Our study aims at exploring patient referral networks in two rural districts in Tanzania, Kilolo and Msalala. Firstly, we ask whether secondary-level facilities act as gatekeepers, mediating referrals from primary- to tertiary-level facilities. Secondly, we explore the facility and network-level determinants of patient referrals focusing on treatment of childhood illnesses and non-communicable diseases. We use data collected across all public health facilities in the districts in 2018. To study gatekeeping, we employ descriptive network analysis tools. To explore the determinants of referrals, we use exponential random graph models. In Kilolo, we find a disproportionate share of patients referred directly to the largest hospital due to geographical proximity. In Msalala, small and specialized secondary-level facilities seem to attract more patients. Overall, the results call for policies to increase referrals to secondary facilities avoiding expensive referrals to hospitals, improving timeliness of care and reducing travel-related financial burden for households.",2021,Mar,Health Policy Plan,36,2,162-175,,10.1093/heapol/czaa138,33367559,#33,Francetic 2021,"",""
Impact of inter-hospital transfers on the prevalence of resistant pathogens in a hospital-community system.,Piotrowska MJ; Sakowski K; Lonc A; Tahir H; Kretzschmar ME,"The spread of resistant bacteria in hospitals is an increasing problem worldwide. Transfers of patients, who may be colonized with resistant bacteria, are considered to be an important driver of promoting resistance. Even though transmission rates within a hospital are often low, readmissions of patients who were colonized during an earlier hospital stay lead to repeated introductions of resistant bacteria into hospitals. We developed a mathematical model that combines a deterministic model for within-hospital spread of pathogens, discharge to the community and readmission, with a hospital-community network simulation of patient transfers between hospitals. Model parameters used to create the hospital-community network are obtained from two health insurance datasets from Germany. For parameter values representing transmission of resistant Enterobacteriaceae, we compute estimates for the single admission reproduction numbers R(A) and the basic reproduction numbers R(0) per hospital-community pair. We simulate the spread of colonization through the network of hospitals, and investigate how increasing connectedness of hospitals through the network influences the prevalence in the hospital-community pairs. We find that the prevalence in hospitals is determined by their R(A) and R(0) values. Increasing transfer rates between network nodes tend to lower the overall prevalence in the network by diluting the high prevalence of hospitals with high R(0) to hospitals where persistent spread is not possible. We conclude that hospitals with high reproduction numbers represent a continuous source of risk for importing resistant pathogens for hospitals with otherwise low levels of transmission. Moreover, high risk hospital-community nodes act as reservoirs of pathogens in a densely connected network.",2020,Dec,Epidemics,33,,100408,,10.1016/j.epidem.2020.100408,33128935,#38,Piotrowska 2020,"",""
Modelling pathogen spread in a healthcare network: Indirect patient movements.,Piotrowska MJ; Sakowski K; Karch A; Tahir H; Horn J; Kretzschmar ME; Mikolajczyk RT,"Inter-hospital patient transfers (direct transfers) between healthcare facilities have been shown to contribute to the spread of pathogens in a healthcare network. However, the impact of indirect transfers (patients re-admitted from the community to the same or different hospital) is not well studied. This work aims to study the contribution of indirect transfers to the spread of pathogens in a healthcare network. To address this aim, a hybrid network-deterministic model to simulate the spread of multiresistant pathogens in a healthcare system was developed for the region of Lower Saxony (Germany). The model accounts for both, direct and indirect transfers of patients. Intra-hospital pathogen transmission is governed by a SIS model expressed by a system of ordinary differential equations. Our results show that the proposed model reproduces the basic properties of healthcare-associated pathogen spread. They also show the importance of indirect transfers: restricting the pathogen spread to direct transfers only leads to 4.2% system wide prevalence. However, adding indirect transfers leads to an increase in the overall prevalence by a factor of 4 (18%). In addition, we demonstrated that the final prevalence in the individual healthcare facilities depends on average length of stay in a way described by a non-linear concave function. Moreover, we demonstrate that the network parameters of the model may be derived from administrative admission/discharge records. In particular, they are sufficient to obtain inter-hospital transfer probabilities, and to express the patients' transfers as a Markov process. Using the proposed model, we show that indirect transfers of patients are equally or even more important as direct transfers for the spread of pathogens in a healthcare network.",2020,Nov,PLoS Comput Biol,16,11,e1008442,,10.1371/journal.pcbi.1008442,33253154,#43,Piotrowska 2020,"",""
Implications of interhospital patient transfers for emergency medical services transportation systems in the Netherlands: a retrospective study.,van der Zee DJ; Maruster L; Buijs P; Aerts-Veenstra M; Hatenboer J; Buskens E,"OBJECTIVES: Interhospital patient transfers have become routine. Known drivers are access to specialty care and non-clinical reasons, such as limited capacity. While emergency medical services (EMS) providers act as main patient transfer operators, the impact of interhospital transfers on EMS service demand and fleet management remains understudied. This study aims to identify patterns in regional interhospital patient transfer volumes and their spatial distribution, and to discuss their potential implications for EMS service demand and fleet management. DESIGN: A retrospective study was performed analysing EMS transport data from the province of Drenthe in the Netherlands between 2013 and 2019 and public hospital listings. Yearly volume changes in urgent and planned interhospital transfers were quantified. Further network analysis, including geomapping, was used to study how transfer volumes and their spatial distribution relate to hospital specialisation, and servicing multihospital systems. Organisational data were considered for relating transfer patterns to fleet changes. SETTING: EMS in the province of Drenthe, the Netherlands, 492 167 inhabitants. PARTICIPANTS: Analyses are based on routinely collected patient data from EMS records, entailing all 248 114 transports (137 168 patients) of the Drenthe EMS provider (2013-2019). From these interhospital transports were selected (24 311 transports). RESULTS: Interhospital transfers represented a considerable (9.8%) and increasing share of transports (from 8.6% in 2013 to 11.3% in 2019). Most transfers were related to multihospital systems (47.3%, 11 509 transports), resulting in a considerable growth of planned EMS transports (from 2093 in 2013 to 3511 in 2019). Geomapping suggests increasing transfer distances and diminishing resource efficiencies due to lacking follow-up rides. Organisational data clarify how EMS fleets were adjusted by expanding resources and reorganising fleet operation. CONCLUSIONS: Emerging interhospital network transfers play an important role in EMS service demand. Increased interhospital transport volumes and geographical spread require a redesign of current EMS fleets and management along regional lines.",2024,Jun,BMJ Open,14,6,e077181,,10.1136/bmjopen-2023-077181,38871665,#45,vanderZee 2024,"",""
Guiding interoperable electronic health records through patient-sharing networks.,Clarke JM; Warren LR; Arora S; Barahona M; Darzi AW,"Effective sharing of clinical information between care providers is a critical component of a safe, efficient health system. National data-sharing systems may be costly, politically contentious and do not reflect local patterns of care delivery. This study examines hospital attendances in England from 2013 to 2015 to identify instances of patient sharing between hospitals. Of 19.6 million patients receiving care from 155 hospital care providers, 130 million presentations were identified. On 14.7 million occasions (12%), patients attended a different hospital to the one they attended on their previous interaction. A network of hospitals was constructed based on the frequency of patient sharing between hospitals which was partitioned using the Louvain algorithm into ten distinct data-sharing communities, improving the continuity of data sharing in such instances from 0 to 65-95%. Locally implemented data-sharing communities of hospitals may achieve effective accessibility of clinical information without a large-scale national interoperable information system.",2018,,NPJ Digit Med,1,,65,,10.1038/s41746-018-0072-y,31304342,#49,Clarke 2018,"",""
Analyzing Patient-Sharing Network Using an Administrative Claim Database in Japan.,Ishikawa T; Kako A; Yoshimoto H; Hattori J; Goda K; Mitsutake N,"We analyzed the behavior of patient with a focus on patient-sharing based on the methodology of network analysis. We used an administrative healthcare claims database from September of the years 2008-2020 to identify shared patients with hypertension. The patients' behavior of visiting multiple medical facilities was extracted as graphical data, and we calculated density and centrality as indicators to evaluate the structure of the patient sharing network. Our findings indicate that density, reciprocity, and transitivity increased over time, and that centrality and PageRank were correlated.",2024,Jan,Stud Health Technol Inform,310,,1126-1130,,10.3233/SHTI231140,38269990,#52,Ishikawa 2024,"",""
"Social Network Analysis of Patient Movement Across Health Care Entities in Orange County, Florida.",Rankin DA; Matthews SD,"OBJECTIVE: Multidrug-resistant organisms (MDROs) are continually emerging and threatening health care systems. Little attention has been paid to the effect of patient transfers on MDRO dissemination among health care entities in health care systems. In this study, the Florida Department of Health in Orange County (DOH-Orange) developed a baseline social network analysis of patient movement across health care entities in Orange County, Florida, and regionally, within 6 surrounding counties in Central Florida. MATERIALS AND METHODS: DOH-Orange constructed 2 directed network sociograms-graphic visualizations that show the direction of relationships (ie, county and regional)-by using 2016 health insurance data from the Centers for Medicare & Medicaid Services, which include metrics that could be useful for local public health interventions, such as MDRO outbreaks. RESULTS: We found that both our county and regional networks were sparse and centralized. The county-level network showed that acute-care hospitals had the highest influence on controlling the flow of patients between health care entities that would otherwise not be connected. The regional-level network showed that post-acute-care hospitals and other facilities (behavioral hospitals and mental health/substance abuse facilities) served as the primary controls for flow of patients between health care entities. The most prominent health care entities in both networks were the same 2 acute-care hospitals. PRACTICE IMPLICATIONS: Social network analysis can help local public health officials respond to MDRO outbreak investigations by determining which health care facilities are the main contributors of dissemination of MDROs or are at high risk of receiving patients with MDROs. This information can help epidemiologists prioritize prevention efforts and develop county- or regional-specific interventions to control and halt MDRO transmission across a health care network.",2020,Jul/Aug,Public Health Rep,135,4,452-460,,10.1177/0033354920930213,32511940,#54,Rankin 2020,"",""
Bayesian exponential random graph modelling of interhospital patient referral networks.,Caimo A; Pallotti F; Lomi A,"Using original data that we have collected on referral relations between 110 hospitals serving a large regional community, we show how recently derived Bayesian exponential random graph models may be adopted to illuminate core empirical issues in research on relational coordination among healthcare organisations. We show how a rigorous Bayesian computation approach supports a fully probabilistic analytical framework that alleviates well-known problems in the estimation of model parameters of exponential random graph models. We also show how the main structural features of interhospital patient referral networks that prior studies have described can be reproduced with accuracy by specifying the system of local dependencies that produce - but at the same time are induced by - decentralised collaborative arrangements between hospitals. Copyright © 2017 John Wiley & Sons, Ltd.",2017,Aug,Stat Med,36,18,2902-2920,,10.1002/sim.7301,28421624,#65,Caimo 2017,"",""
